experiment_name, evaluation_name, evaluation_function, measured_value, experiment_result, system_timestamp
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            0.0,            False,            0.0
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            0.0,            False,            0.2
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            0.37542986796493416,            False,            0.4
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            1.1168124464192135,            False,            0.6000000000000001
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            1.8609485179956005,            False,            0.8
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            2.6095212908641776,            False,            1.0
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            3.340316425750792,            False,            1.2
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            4.044429574844922,            False,            1.4
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            4.72473996597108,            False,            1.5999999999999999
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            5.379701548206508,            False,            1.7999999999999998
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            6.008053179692593,            False,            1.9999999999999998
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            6.608560803136221,            False,            2.1999999999999997
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            7.180192321574324,            False,            2.4
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            7.722120125804886,            False,            2.6
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            8.233723619017185,            False,            2.8000000000000003
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            8.714582281374078,            False,            3.0000000000000004
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.164466521463677,            False,            3.2000000000000006
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.583327084591616,            False,            3.400000000000001
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.97128352031883,            False,            3.600000000000001
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.328612088060177,            False,            3.800000000000001
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.655733398929748,            False,            4.000000000000001
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.953199989874744,            False,            4.200000000000001
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.221683841350556,            True,            4.400000000000001
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.461964002982679,            True,            4.600000000000001
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.674914590486079,            True,            4.800000000000002
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.861492992556334,            True,            5.000000000000002
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.022728350449592,            True,            5.200000000000002
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.159710606138928,            True,            5.400000000000002
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.273579948681606,            True,            5.600000000000002
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.36551666518183,            True,            5.8000000000000025
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.436731628261436,            True,            6.000000000000003
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.488457232593037,            True,            6.200000000000003
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.521938880127074,            True,            6.400000000000003
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.538427087155915,            True,            6.600000000000003
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.539170108822882,            True,            6.800000000000003
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.525407165632451,            True,            7.0000000000000036
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.498362142837577,            True,            7.200000000000004
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.459237954327234,            True,            7.400000000000004
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.409211333558462,            True,            7.600000000000004
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.349428308986539,            True,            7.800000000000004
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.282192411053739,            True,            8.000000000000004
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.212200493075192,            True,            8.200000000000003
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.142408575096617,            True,            8.400000000000002
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.07281665711801,            True,            8.600000000000001
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            12.003424739139371,            True,            8.8
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.934232821160702,            True,            9.0
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.865240903182,            True,            9.2
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.796448985203266,            True,            9.399999999999999
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.727857067224502,            True,            9.599999999999998
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.659465149245705,            True,            9.799999999999997
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.591273231266873,            True,            9.999999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.52328131328801,            True,            10.199999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.455489395309112,            True,            10.399999999999995
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.387897477330181,            True,            10.599999999999994
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.320505559351217,            True,            10.799999999999994
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.253313641372218,            True,            10.999999999999993
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.186321723393183,            True,            11.199999999999992
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.119529805414116,            True,            11.399999999999991
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            11.052937887435013,            True,            11.59999999999999
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.986545969455873,            False,            11.79999999999999
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.920354051476698,            False,            11.99999999999999
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.854362133497487,            False,            12.199999999999989
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.78857021551824,            False,            12.399999999999988
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.722978297538956,            False,            12.599999999999987
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.657586379559634,            False,            12.799999999999986
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.592394461580275,            False,            12.999999999999986
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.527402543600878,            False,            13.199999999999985
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.462610625621444,            False,            13.399999999999984
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.39801870764197,            False,            13.599999999999984
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.333626789662457,            False,            13.799999999999983
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.269434871682906,            False,            13.999999999999982
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.205442953703315,            False,            14.199999999999982
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.141651035723683,            False,            14.39999999999998
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.078059117744012,            False,            14.59999999999998
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.014667199764299,            False,            14.79999999999998
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.951475281784546,            False,            14.999999999999979
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.88848336380475,            False,            15.199999999999978
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.825691445824912,            False,            15.399999999999977
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.763099527845034,            False,            15.599999999999977
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.700707609865113,            False,            15.799999999999976
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.638515691885148,            False,            15.999999999999975
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.576523773905139,            False,            16.199999999999974
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.51579412825561,            False,            16.399999999999974
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.459702213803098,            False,            16.599999999999973
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.410652558446962,            False,            16.799999999999972
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.368693250796627,            False,            16.99999999999997
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.333626562309332,            False,            17.19999999999997
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.305128238818522,            False,            17.39999999999997
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.28284565304778,            False,            17.59999999999997
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.266413259398249,            False,            17.79999999999997
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.255460056719915,            False,            17.999999999999968
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.249612954780654,            False,            18.199999999999967
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.248499427357793,            False,            18.399999999999967
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.251749589402724,            False,            18.599999999999966
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.258998060917687,            False,            18.799999999999965
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.269885820122441,            False,            18.999999999999964
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.284061732583318,            False,            19.199999999999964
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.301183838071175,            False,            19.399999999999963
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.320920634348429,            False,            19.599999999999962
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.34295212568609,            False,            19.79999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.366970673562713,            False,            19.99999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.392681876100351,            False,            20.19999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.419805089630355,            False,            20.39999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.448073939534043,            False,            20.59999999999996
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.477236754231907,            False,            20.799999999999958
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.507056771870472,            False,            20.999999999999957
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.53731233726028,            False,            21.199999999999957
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.567796890089713,            False,            21.399999999999956
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.598318986351337,            False,            21.599999999999955
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.62870221265624,            False,            21.799999999999955
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.658784908052901,            False,            21.999999999999954
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.688419961585023,            False,            22.199999999999953
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.717474500735719,            False,            22.399999999999952
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.745829468438444,            False,            22.59999999999995
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.773379240577233,            False,            22.79999999999995
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.800031179657376,            False,            22.99999999999995
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.825705077293795,            False,            23.19999999999995
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.850332643626885,            False,            23.39999999999995
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.873856903306075,            False,            23.599999999999948
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.896231707185434,            False,            23.799999999999947
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.917421120325841,            False,            23.999999999999947
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.937398714602141,            False,            24.199999999999946
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.956147065752306,            False,            24.399999999999945
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.973657136259144,            False,            24.599999999999945
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            9.989927639477665,            False,            24.799999999999944
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.004964405929053,            False,            24.999999999999943
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.018779855862824,            False,            25.199999999999942
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.031392315589827,            False,            25.39999999999994
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.042825494201997,            False,            25.59999999999994
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.05310796728679,            False,            25.79999999999994
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.062272516954424,            False,            25.99999999999994
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.070355705814077,            False,            26.19999999999994
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.077397389733354,            False,            26.399999999999938
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.083440142832833,            False,            26.599999999999937
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.088528806385241,            False,            26.799999999999937
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.09271013709629,            False,            26.999999999999936
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.096032334429934,            False,            27.199999999999935
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.098544623056537,            False,            27.399999999999935
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.100296982284108,            False,            27.599999999999934
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.101339721381201,            False,            27.799999999999933
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.101723199403946,            False,            27.999999999999932
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.101497572133624,            False,            28.199999999999932
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.100712394313744,            False,            28.39999999999993
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.099416520634897,            False,            28.59999999999993
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.09765785489114,            False,            28.79999999999993
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.095483106306057,            False,            28.99999999999993
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.092937662256611,            False,            29.19999999999993
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.090065428902665,            False,            29.399999999999928
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.086908675033355,            False,            29.599999999999927
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.083507921288167,            False,            29.799999999999926
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.079901874075787,            False,            29.999999999999925
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.076127330145516,            False,            30.199999999999925
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.072219128910502,            False,            30.399999999999924
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.06821011098524,            False,            30.599999999999923
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.064131088641911,            False,            30.799999999999923
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.060010831353353,            False,            30.999999999999922
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            10.055876051257911,            False,            31.19999999999992
