experiment_name, evaluation_name, evaluation_function, measured_value, experiment_result, system_timestamp
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            0.3712132495115844,            False,            0.0
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            15.5,            False,            0.0
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            1.1166848360307446,            False,            0.2
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            15.924619463257045,            False,            0.2
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            1.877912284448699,            False,            0.4
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            15.732017179201186,            False,            0.4
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            2.639296021304134,            False,            0.6000000000000001
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            15.440446150550281,            False,            0.6000000000000001
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            3.3839093460345007,            False,            0.8
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            15.07251012997949,            False,            0.8
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            4.108025890555419,            False,            1.0
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            14.654429874517007,            False,            1.0
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            4.8089663130384945,            False,            1.2
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            14.193658295906133,            False,            1.2
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            5.48478943778585,            False,            1.4
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            13.696398052001825,            False,            1.4
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            6.133828287756257,            False,            1.5999999999999999
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            13.167975577339572,            False,            1.5999999999999999
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            6.754657707196732,            False,            1.7999999999999998
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            12.613486416106857,            False,            1.7999999999999998
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            7.346079346105182,            False,            1.9999999999999998
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            12.037817987198494,            False,            1.9999999999999998
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            7.907118838184866,            False,            2.1999999999999997
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            11.445648676170725,            False,            2.1999999999999997
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            8.437020861422656,            False,            2.4
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            10.841429528836697,            False,            2.4
Water Level Control,            eval_1,            WaterTankSystem.PV_WaterLevel_out > 11.0,            8.935242061534135,            False,            2.6
Water Level Control,            eval_2,            TankLevel_PI.CV_PumpCtrl_out < 0.0,            10.229369508999635,            False,            2.6
