Experiment_name, System, Variable, Value, Time
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            0.0,            0.0
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.0,            0.0
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            0.0,            0.0
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            0.3712132495115844,            0.2
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            15.5,            0.2
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            15.5,            0.2
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            1.1166848360307446,            0.4
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            15.924619463257045,            0.4
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            15.924619463257045,            0.4
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            1.877912284448699,            0.6000000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            15.732017179201186,            0.6000000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            15.732017179201186,            0.6000000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            2.639296021304134,            0.8
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            15.440446150550281,            0.8
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            15.440446150550281,            0.8
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            3.3839093460345007,            1.0
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            15.07251012997949,            1.0
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            15.07251012997949,            1.0
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            4.108025890555419,            1.2
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            14.654429874517007,            1.2
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            14.654429874517007,            1.2
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            4.8089663130384945,            1.4
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            14.193658295906133,            1.4
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            14.193658295906133,            1.4
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            5.48478943778585,            1.5999999999999999
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            13.696398052001825,            1.5999999999999999
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            13.696398052001825,            1.5999999999999999
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            6.133828287756257,            1.7999999999999998
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            13.167975577339572,            1.7999999999999998
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            13.167975577339572,            1.7999999999999998
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            6.754657707196732,            1.9999999999999998
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            12.613486416106857,            1.9999999999999998
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            12.613486416106857,            1.9999999999999998
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            7.346079346105182,            2.1999999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            12.037817987198494,            2.1999999999999997
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            12.037817987198494,            2.1999999999999997
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            7.907118838184866,            2.4
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            11.445648676170725,            2.4
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            11.445648676170725,            2.4
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            8.437020861422656,            2.6
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            10.841429528836697,            2.6
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            10.841429528836697,            2.6
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            8.935242061534135,            2.8000000000000003
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            10.229369508999635,            2.8000000000000003
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            10.229369508999635,            2.8000000000000003
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.401442073582018,            3.0000000000000004
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            9.613424562684578,            3.0000000000000004
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            9.613424562684578,            3.0000000000000004
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            9.835473178027296,            3.2000000000000006
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            8.997290337856947,            3.2000000000000006
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            8.997290337856947,            3.2000000000000006
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.237368999878557,            3.400000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            8.384397918608565,            3.400000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            8.384397918608565,            3.400000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.607332562836167,            3.600000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            7.7779120769363805,            3.600000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            7.7779120769363805,            3.600000000000001
Water Level Control,            WaterTankSystem,            PV_WaterLevel_out,            10.945723934467258,            3.800000000000001
Water Level Control,            TankLevel_PI,            CV_PumpCtrl_out,            7.18073165436423,            3.800000000000001
