Experiment_name,System,Variable,Value,Time
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,15,0
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,16,0.2
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,15.8541657798207,0.4
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,15.5724507324611,0.6
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,15.2339158111302,0.8
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,14.8484070811372,1
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,14.4210251756324,1.2
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,13.9566855144552,1.4
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,13.4602908019397,1.6
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,12.9366549916627,1.8
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,12.3904464957754,2
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,11.8261518637322,2.2
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,11.2480517495755,2.4
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,10.6602045691391,2.6
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,10.0664353899106,2.8
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,9.47032865089968,3
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,8.87522384959093,3.2
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,8.28421362630385,3.4
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,7.7001438445208,3.6
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,7.12561536699408,3.8
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,6.56298729108987,4
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,6.01438144853815,4.2
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,5.48168800325578,4.4
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,4.96657200123661,4.6
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,4.47048074165943,4.8
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,3.99465185018976,5
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,3.54012194509435,5.2
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,3.10773579497842,5.4
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,2.69815587416735,5.6
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,2.31187222829347,5.8
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,1.94921256871624,6
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,1.6103525201308,6.2
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,1.29532595119102,6.4
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,1.00403532324238,6.6
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,0.736261997360175,6.8
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,0.491676444838569,7
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,0.269848311085505,7.2
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,0.0702562875499799,7.4
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,-0.107702249158507,7.6
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,-0.264701867407529,7.8
Water Level Control,WaterTankSystem,CV_PumpCtrl_out,-0.401480012141467,8
